id	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore
1	9	73	73	100	3.7	102338	81
2	5.6	28	13	46	3.2	44587	61
3	5.9	36	24	66	3.2	10489	66
4	5.6	25	14	56	3.3	5666	79
5	5.3	19	9	47	3	13761	64
6	7.7	58	50	86	3.9	42785	92
7	7.4	31	28	90	3.8	12812	87
8	4.2	8	2	25	2.7	2649	45
9	5.2	32	17	53	2.6	3626	40
10	6.8	41	33	80	3.4	28260	78
11	7	49	44	89	3.2	8320	71
12	3	35	3	8	2.8	10078	52
13	5.8	12	6	50	3.2	9195	66
14	6.7	56	42	75	3.5	3256	72
15	4.4	31	14	45	2.6	3350	42
16	7.2	58	47	81	3.9	66463	91
17	7.9	49	48	97	3.8	32782	88
18	3.5	42	6	14	3.5	14266	72
19	4.1	25	9	36	3.2	87306	73
20	4	24	4	16	2.7	5263	38
21	7.7	49	42	85	3.2	10155	63
22	6.6	32	24	75	3.1	5628	58
23	4.3	106	27	25	3.4	107023	58
24	5.2	19	9	47	3.1	6650	67
25	7.7	45	40	88	3.6	12742	82
26	6.3	38	26	68	3.3	2018	66
27	4.7	16	3	18	3.5	17168	78
28	7.7	23	19	82	3.9	7968	82
29	7	33	27	81	4	22420	89
30	6.8	21	18	85	3.6	1061	70
31	4.7	37	11	29	3.1	12136	66
32	0	0	0	0	0	0	0
33	0	4	2	50	0	0	0
34	8.2	54	53	98	3	22954	54
35	6.2	19	9	47	3.5	781	68
36	8.2	53	50	94	3.6	15450	81
37	0	4	2	50	2.9	237	27
38	3.9	24	2	8	2.9	16311	63
39	0	0	0	0	0	0	0
40	7.2	13	10	76	3.5	520	66
41	8.1	43	41	95	3.7	1552	82
42	5.7	31	14	45	3.3	4475	75
43	6.3	31	21	67	3.3	1103	56
44	4.4	26	9	34	2.8	18291	55
45	6.8	197	161	81	3.9	1145097	86
46	5.6	22	11	50	3.2	2626	58
47	9.2	49	49	100	4.5	29509	97
48	6	49	27	55	3.2	37858	63
49	5.7	16	8	50	3.9	1132	83
50	7.5	47	41	87	4.2	109588	95
52	6.7	33	25	75	3.3	4866	69
53	8	10	9	90	3.9	239	82
54	2.8	5	0	0	2.7	2596	47
55	3.8	116	20	17	3	64056	55
56	0	0	0	0	0	0	0
