id	title
1	Toy story
2	Jumanji
3	Grumpy Old Men
4	Waiting to Exhale
5	Father of the Bride Part II
6	Heat
7	Sabrina
8	Tom and Huck
9	Sudden Death
10	GoldenEye
11	The American President
12	Dracula: Dead and Loving It
13	Balto
14	Nixon
15	Cutthroat Island
16	Casino
17	Sense and Sensibility
18	Four Rooms
19	Ace Ventura: When Nature Calls
20	Money Train
21	Get Shorty
22	Copycat
23	Ninja Assassin
24	Powder
25	Leaving Las Vegas
26	Othello
27	Now and Then
28	Persuasion
29	La cite des enfants perdus
30	Yao a yao yao dao waipo qiao
31	Dangerous Minds
32	Twelve Monkeys
33	Wings of Courage
34	Babe
35	Carrington
36	Dead Man Walking
37	Across the Sea of Time
38	It Takes Two
39	Clueless
40	Cry, the Beloved Country
41	Richard III
42	Dead Presidents
43	Restoration
44	Mortal Kombat
45	Live Free or Die Hard
46	How to Make an American Quilt
47	Shichinin no samurai
48	Pocahontas
49	When Night Is Falling
50	The Usual Suspects
52	Mighty Aphrodite
53	Lamerica
54	The Big Green
55	Georgia Rule
56	Kids of the Round Table
57	Home for the Holidays
58	Il postino
59	Le confessionnal
60	The Indian in the Cupboard
61	Eye for an Eye
62	Mr. Holland's Opus
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64	Two If by Sea
65	Bio-Dome
66	Lawnmower Man 2: Beyond Cyberspace
67	Two Bits
68	Gazon maudit
69	Friday
70	From Dusk Till Dawn
71	Fair Game
72	Kicking & Screaming
73	Les miserables
74	Bed of Roses
75	Big Bully
76	Screamers
77	Nico Icon
78	The Crossing Guard
79	The Juror
80	Badkonake sefid
81	Things to Do in Denver When You're Dead
82	Antonia
83	Once Upon a Time... When We Were Colored
84	Last Summer in the Hamptons
85	Angels and Insects
86	White Squall
87	Dunston Checks In
88	Black Sheep
89	Nick of Time
90	The Journey of August King
92	Mary Reilly
93	Vampire in Brooklyn
94	Beautiful Girls
95	Broken Arrow
96	In the Bleak Midwinter
97	La haine
98	Going Shopping
99	Heidi Fleiss: Hollywood Madam
100	City Hall
101	Bottle Rocket
102	Mr. Wrong
103	Unforgettable
104	Happy Gilmore
105	The Bridges of Madison County
106	Keiner liebt mich
107	Muppet Treasure Island
110	Braveheart
111	Taxi Driver
112	Hung fan kui
113	Before and After
114	Margaret's Museum
115	Le bonheur est dans le pre
116	Anne Frank Remembered
117	The Young Poisoner's Handbook
118	If Lucy Fell
119	Steal Big Steal Little
120	Race the Sun
121	The Boys of St. Vincent
122	Boomerang
123	Chung Hing sam lam
124	L'uomo delle stelle
125	Flirting with Disaster
126	The Neverending Story III
128	Jupiter's Wife
129	Pie in the Sky
130	Angela's Ashes
131	Frankie Starlight
132	The Curse of the Jade Scorpion
134	Sonic Outlaws
135	Down Periscope
136	From the Journals of Jean Seberg
137	Man of the Year
139	Hard Target
140	Up Close & Personal
141	The Birdcage
143	Gospa
144	The Brothers McMullen
145	Bad Boys
146	The Amazing Panda Adventure
147	The Basketball Diaries
148	An Awfully Big Adventure
149	The Moguls
150	Apollo 13
151	Rob Roy
152	Basic Instinct 2
153	Batman Forever
154	Belle de jour
155	Beyond Rangoon
156	Blue in the Face
157	Canadian Bacon
158	Casper
159	Clockers
160	Congo
161	Crimson Tide
162	Crumb
163	Desperado
164	Devil in a Blue Dress
165	Die Hard: With a Vengeance
166	The Doom Generation
167	Feast of July
168	First Knight
169	Free Willy 2: The Adventure Home
170	Hackers
171	Jeffrey
172	Johnny Mnemonic
173	Judge Dredd
174	Jury Duty
175	Kids
176	Living in Oblivion
177	Lord of Illusions
178	Love & Human Remains
179	Mad Love
180	Mallrats
181	Mighty Morphin Power Rangers: The Movie
182	Moonlight and Valentino
183	Mute Witness
184	Nadja
185	The Net
186	Nine Months
187	Party Girl
188	The Prophecy
189	The Reckless Moment
190	Fail-Safe
191	The Scarlet Letter
193	Showgirls
194	Smoke
195	Something to Talk About
196	Species
197	The Stars Fell on Henrietta
198	Strange Days
199	Les parapluies de Cherbourg
